X	Y	Z	Distance (m)	Slope (deg)
0	0	0	0	15
0	0	0	10	15
0	0	0	20	15
0	0	0	30	15
0	0	0	40	15
0	0	0	50	15
0	0	0	60	15
0	0	0	70	15
0	0	0	80	15
0	0	0	90	15
0	0	0	100	15
0	0	0	110	15
0	0	0	120	15
0	0	0	130	15
0	0	0	140	15
0	0	0	150	15
0	0	0	160	15
0	0	0	170	15
0	0	0	180	15
0	0	0	190	15
0	0	0	200	15
0	0	0	210	15
0	0	0	220	15
0	0	0	230	15
0	0	0	240	15
0	0	0	250	15
0	0	0	260	15
0	0	0	270	15
0	0	0	280	15
0	0	0	290	15
0	0	0	300	15
0	0	0	310	15
0	0	0	320	15
0	0	0	330	15
0	0	0	340	15
0	0	0	350	15
0	0	0	360	15
0	0	0	370	15
0	0	0	380	15
0	0	0	390	15
0	0	0	400	15
0	0	0	410	15
0	0	0	420	15
0	0	0	430	15
0	0	0	440	15
0	0	0	450	15
0	0	0	460	15
0	0	0	470	15
0	0	0	480	15
0	0	0	490	15
0	0	0	500	15
0	0	0	510	15
0	0	0	520	15
0	0	0	530	15
0	0	0	540	15
0	0	0	550	15
0	0	0	560	15
0	0	0	570	15
0	0	0	580	15
0	0	0	590	15
0	0	0	600	15
0	0	0	610	15
0	0	0	620	15
0	0	0	630	15
0	0	0	640	15
0	0	0	650	15
0	0	0	660	15
0	0	0	670	15
0	0	0	680	15
0	0	0	690	15
0	0	0	700	15
0	0	0	710	15
0	0	0	720	15
0	0	0	730	15
0	0	0	740	15
0	0	0	750	15
0	0	0	760	15
0	0	0	770	15
0	0	0	780	15
0	0	0	790	15
0	0	0	800	15
0	0	0	810	15
0	0	0	820	15
0	0	0	830	15
0	0	0	840	15
0	0	0	850	15
0	0	0	860	15
0	0	0	870	15
0	0	0	880	15
0	0	0	890	15
0	0	0	900	15
0	0	0	910	15
0	0	0	920	15
0	0	0	930	15
0	0	0	940	15
0	0	0	950	15
0	0	0	960	15
0	0	0	970	15
0	0	0	980	15
0	0	0	990	15
0	0	0	1000	15
0	0	0	1010	15
0	0	0	1020	15
0	0	0	1030	15
0	0	0	1040	15
0	0	0	1050	15
0	0	0	1060	15
0	0	0	1070	15
0	0	0	1080	15
0	0	0	1090	15
0	0	0	1100	15
0	0	0	1110	15
0	0	0	1120	15
0	0	0	1130	15
0	0	0	1140	15
0	0	0	1150	15
0	0	0	1160	15
0	0	0	1170	15
0	0	0	1180	15
0	0	0	1190	15
0	0	0	1200	15
0	0	0	1210	15
0	0	0	1220	15
0	0	0	1230	15
0	0	0	1240	15
0	0	0	1250	15
0	0	0	1260	15
0	0	0	1270	15
0	0	0	1280	15
0	0	0	1290	15
0	0	0	1300	15
0	0	0	1310	15
0	0	0	1320	15
0	0	0	1330	15
0	0	0	1340	15
0	0	0	1350	15
0	0	0	1360	15
0	0	0	1370	15
0	0	0	1380	15
0	0	0	1390	15
0	0	0	1400	15
0	0	0	1410	15
0	0	0	1420	15
0	0	0	1430	15
0	0	0	1440	15
0	0	0	1450	15
0	0	0	1460	15
0	0	0	1470	15
0	0	0	1480	15
0	0	0	1490	15
0	0	0	1500	15
0	0	0	1510	15
0	0	0	1520	15
0	0	0	1530	15
0	0	0	1540	15
0	0	0	1550	15
0	0	0	1560	15
0	0	0	1570	15
0	0	0	1580	15
0	0	0	1590	15
0	0	0	1600	15
0	0	0	1610	15
0	0	0	1620	15
0	0	0	1630	15
0	0	0	1640	15
0	0	0	1650	15
0	0	0	1660	15
0	0	0	1670	15
0	0	0	1680	15
0	0	0	1690	15
0	0	0	1700	15
0	0	0	1710	15
0	0	0	1720	15
0	0	0	1730	15
0	0	0	1740	15
0	0	0	1750	15
0	0	0	1760	15
0	0	0	1770	15
0	0	0	1780	15
0	0	0	1790	15
0	0	0	1800	15
0	0	0	1810	15
0	0	0	1820	15
0	0	0	1830	15
0	0	0	1840	15
0	0	0	1850	15
0	0	0	1860	15
0	0	0	1870	15
0	0	0	1880	15
0	0	0	1890	15
0	0	0	1900	15
0	0	0	1910	15
0	0	0	1920	15
0	0	0	1930	15
0	0	0	1940	15
0	0	0	1950	15
0	0	0	1960	15
0	0	0	1970	15
0	0	0	1980	15
0	0	0	1990	15
0	0	0	2000	15
0	0	0	2010	15
0	0	0	2020	15
0	0	0	2030	15
0	0	0	2040	15
0	0	0	2050	15
0	0	0	2060	15
0	0	0	2070	15
0	0	0	2080	15
0	0	0	2090	15
0	0	0	2100	15
0	0	0	2110	15
0	0	0	2120	15
0	0	0	2130	15
0	0	0	2140	15
0	0	0	2150	15
0	0	0	2160	15
0	0	0	2170	15
0	0	0	2180	15
0	0	0	2190	15
0	0	0	2200	15
0	0	0	2210	15
0	0	0	2220	15
0	0	0	2230	15
0	0	0	2240	15
0	0	0	2250	15
0	0	0	2260	15
0	0	0	2270	15
0	0	0	2280	15
0	0	0	2290	15
0	0	0	2300	15
0	0	0	2310	15
0	0	0	2320	15
0	0	0	2330	15
0	0	0	2340	15
0	0	0	2350	15
0	0	0	2360	15
0	0	0	2370	15
0	0	0	2380	15
0	0	0	2390	15
0	0	0	2400	15
0	0	0	2410	15
0	0	0	2420	15
0	0	0	2430	15
0	0	0	2440	15
0	0	0	2450	15
0	0	0	2460	15
0	0	0	2470	15
0	0	0	2480	15
0	0	0	2490	15
0	0	0	2500	15
0	0	0	2510	15
0	0	0	2520	15
0	0	0	2530	15
0	0	0	2540	15
0	0	0	2550	15
0	0	0	2560	15
0	0	0	2570	15
0	0	0	2580	15
0	0	0	2590	15
0	0	0	2600	15
0	0	0	2610	15
0	0	0	2620	15
0	0	0	2630	15
0	0	0	2640	15
0	0	0	2650	15
0	0	0	2660	15
0	0	0	2670	15
0	0	0	2680	15
0	0	0	2690	15
0	0	0	2700	15
0	0	0	2710	15
0	0	0	2720	15
0	0	0	2730	15
0	0	0	2740	15
0	0	0	2750	15
0	0	0	2760	15
0	0	0	2770	15
0	0	0	2780	15
0	0	0	2790	15
0	0	0	2800	15
0	0	0	2810	15
0	0	0	2820	15
0	0	0	2830	15
0	0	0	2840	15
0	0	0	2850	15
0	0	0	2860	15
0	0	0	2870	15
0	0	0	2880	15
0	0	0	2890	15
0	0	0	2900	15
0	0	0	2910	15
0	0	0	2920	15
0	0	0	2930	15
0	0	0	2940	15
0	0	0	2950	15
0	0	0	2960	15
0	0	0	2970	15
0	0	0	2980	15
0	0	0	2990	15
0	0	0	3000	15
0	0	0	3010	15
0	0	0	3020	15
0	0	0	3030	15
0	0	0	3040	15
0	0	0	3050	15
0	0	0	3060	15
0	0	0	3070	15
0	0	0	3080	15
0	0	0	3090	15
0	0	0	3100	15
0	0	0	3110	15
0	0	0	3120	15
0	0	0	3130	15
0	0	0	3140	15
0	0	0	3150	15
0	0	0	3160	15
0	0	0	3170	15
0	0	0	3180	15
0	0	0	3190	15
0	0	0	3200	15
0	0	0	3210	15
0	0	0	3220	15
0	0	0	3230	15
0	0	0	3240	15
0	0	0	3250	15
0	0	0	3260	15
0	0	0	3270	15
0	0	0	3280	15
0	0	0	3290	15
0	0	0	3300	15
0	0	0	3310	15
0	0	0	3320	15
0	0	0	3330	15
0	0	0	3340	15
0	0	0	3350	15
0	0	0	3360	15
0	0	0	3370	15
0	0	0	3380	15
0	0	0	3390	15
0	0	0	3400	15
0	0	0	3410	15
0	0	0	3420	15
0	0	0	3430	15
0	0	0	3440	15
0	0	0	3450	15
0	0	0	3460	15
0	0	0	3470	15
0	0	0	3480	15
0	0	0	3490	15
0	0	0	3500	15
0	0	0	3510	15
0	0	0	3520	15
0	0	0	3530	15
0	0	0	3540	15
